source_state,target_state,weight
Connecticut,North_Dakota,4.5270499925089e-06
Connecticut,Ohio,0.000299061686362452
Connecticut,Oklahoma,3.452809857260832e-05
Connecticut,Oregon,4.235814311981557e-05
Connecticut,Pennsylvania,4.587339803680159e-06
Connecticut,Rhode_Island,4.778522273242955e-10
Connecticut,South_Carolina,0.0001228373552884003
Connecticut,South_Dakota,2.4303695151169264e-12
Connecticut,Tennessee,7.106974674445789e-11
Connecticut,Texas,0.0005229361478478738
Connecticut,Utah,6.552066937152194e-05
Connecticut,Vermont,1.926534854517948e-06
Connecticut,Virginia,0.00012121474147741765
Connecticut,Washington,0.00010743444345703376
Connecticut,West_Virginia,8.012263785126694e-06
Connecticut,Wisconsin,8.550215413578322e-05
Connecticut,Wyoming,7.874431427803733e-07
Delaware,Alabama,8.925124326045093e-06
Delaware,Alaska,2.1977759158545588e-06
Delaware,Arizona,4.291234525768747e-05
Delaware,Arkansas,3.465574038383045e-06
Delaware,California,0.00016407004425086924
Delaware,Colorado,5.293804233925586e-05
Delaware,Connecticut,5.388515196285522e-06
Delaware,Delaware,0.9987561397003188
Delaware,Florida,0.0003622164001668293
Delaware,Georgia,7.80552983285412e-06
Delaware,Hawaii,7.003902066816272e-06
Delaware,Idaho,2.4872581138596583e-06
Delaware,Illinois,6.5174398406480735e-06
Delaware,Indiana,2.489171086932909e-05
Delaware,Iowa,6.265597634453787e-06
Delaware,Kansas,1.0556414006786404e-05
Delaware,Kentucky,4.908396003859393e-06
Delaware,Louisiana,2.669688234867568e-05
Delaware,Maine,1.8274674355913282e-05
Delaware,Maryland,2.097013956581776e-06
Delaware,Massachusetts,8.540310834709503e-07
Delaware,Michigan,4.986293319688522e-06
Delaware,Minnesota,2.569464696755137e-05
Delaware,Mississippi,1.2126918010212775e-06
Delaware,Missouri,8.900027452720259e-07
Delaware,Montana,1.9120517586552935e-06
Delaware,Nebraska,3.0653431108353164e-07
Delaware,Nevada,4.718860653498378e-05
Delaware,New_Hampshire,5.777488965374417e-13
Delaware,New_Jersey,3.2544300548847186e-07
Delaware,New_Mexico,3.3824913759116785e-06
Delaware,New_York,3.6623313012102144e-05
Delaware,North_Carolina,5.072040908501874e-05
Delaware,North_Dakota,3.368485275918097e-07
Delaware,Ohio,4.994525808356012e-05
Delaware,Oklahoma,3.327971823675558e-06
Delaware,Oregon,6.313875409726981e-06
Delaware,Pennsylvania,1.4612244754893502e-06
Delaware,Rhode_Island,6.8047951354956374e-12
Delaware,South_Carolina,2.644655362471508e-05
Delaware,South_Dakota,1.0480559062471291e-13
Delaware,Tennessee,2.9013206582801272e-11
Delaware,Texas,0.00013009221122267482
Delaware,Utah,1.1258710046166318e-05
Delaware,Vermont,3.606801242162002e-06
Delaware,Virginia,1.2534401022133502e-05
Delaware,Washington,2.371672145109104e-05
Delaware,West_Virginia,1.02273871744924e-06
Delaware,Wisconsin,1.5201463089538446e-05
Delaware,Wyoming,1.0584690776013924e-07
Florida,Alabama,0.0024669511517190763
Florida,Alaska,0.00025699879759476
Florida,Arizona,0.003535335145401615
Florida,Arkansas,0.0012025638508235614
Florida,California,0.015128208277319624
Florida,Colorado,0.007170642966933802
Florida,Connecticut,0.003326279743313613
Florida,Delaware,0.0007224423651857796
Florida,Florida,0.8037211250328037
Florida,Georgia,0.0006629263997227059
Florida,Hawaii,0.0005312929044705382
Florida,Idaho,0.0003232275924552338
Florida,Illinois,0.0027377226312409373
Florida,Indiana,0.007615125789745692
Florida,Iowa,0.002424552434627241
Florida,Kansas,0.0025686962274883533
Florida,Kentucky,0.0015287698086153398
Florida,Louisiana,0.003175009373498705
Florida,Maine,0.0019174028305366485
Florida,Maryland,0.013726785646696398
Florida,Massachusetts,0.0001724177483428041
Florida,Michigan,0.003321995282257466
Florida,Minnesota,0.007174910241287236
Florida,Mississippi,0.000501804872008476
Florida,Missouri,0.0005108698849294399
Florida,Montana,0.0002593006847626324
Florida,Nebraska,4.074821577207568e-05
Florida,Nevada,0.004415751481900705
Florida,New_Hampshire,2.739838546427086e-10
Florida,New_Jersey,0.002878464304146709
Florida,New_Mexico,0.0006949822447420433
Florida,New_York,0.03670520675510239
Florida,North_Carolina,0.005002908326645721
Florida,North_Dakota,0.00012703944160415758
Florida,Ohio,0.01705986465662979
